Capacity,Optimization,Best Response,Replicator Dynamics,Fictitious Play,MCTS,Allocation Algorithm
3181,0.0,163780.7500577439,159114.39594434778,169698.85776276863,156291.73259426944,158916.87486974348
3187,0.0,144414.26502624713,155984.03307046887,149246.96267359648,138793.29731103597,145649.23358410152
3191,0.0,152921.8196611447,153180.91849498457,167286.86387682648,165371.53082782225,160083.92970769515
3203,0.0,121532.73130905429,134855.9469920866,125435.79543107774,137039.46688649344,112598.6557508267
3209,0.0,65489.13723619133,67162.91610524316,66417.30443116909,66229.02198497472,65286.97778902262
3217,131693.02231005137,135961.92782607,149726.23758580905,142059.51399077495,156441.99038653984,141388.07932264556
3221,0.0,131929.07431566375,133431.01037144702,128686.96316149803,143324.1349832021,119037.44338615237
3229,0.0,120894.46863010696,128549.11464855305,125608.053098733,121345.94460614595,113468.8247597443
3251,0.0,150074.39398308052,154379.8336492672,141159.61441617066,153751.04531437295,153234.15413394346
3253,0.0,105116.29657457206,120061.98609475684,103692.82490593354,111421.33466544733,122619.22923018965
3257,0.0,125729.75157779749,133406.78638492152,142214.27426219426,129674.57233286298,130365.44604050754
3259,0.0,153474.46821909814,136285.34021484276,137912.9002627156,149419.61089984933,146038.21541432868
3271,0.0,107660.39214286793,115322.89335503876,111058.5906703748,111096.97674891938,109342.84904869157
3299,0.0,122021.18582925857,117566.58326530935,117263.15505817806,128938.88448867499,122807.55892783242
3301,0.0,148996.6741333699,148895.58977046784,152132.39083720685,169705.06324858224,146560.45507949014
3307,0.0,131900.22685918212,142157.42902590256,127058.9550761748,132601.39473202912,135647.42417011355
3313,0.0,153588.96596414817,141843.35704101349,145995.58405254796,154505.37114734823,141355.37382297814
3319,0.0,130213.4059596977,124820.69647988303,132794.6020684468,134021.24081526167,131372.7173282872
3323,0.0,106664.19814853095,105964.64273570165,108464.36500673086,113105.56476650672,103301.20714094011
3329,0.0,90010.36074592109,86777.61681331071,81689.76141493936,98808.14023175683,84630.1405747887
3331,0.0,154110.0055413387,177938.19690671706,168384.99917652475,147480.58362248229,171013.0047467331
3343,0.0,137164.06103463154,149425.54028969645,155280.09206676309,151689.0103184507,152208.1926259318
3347,0.0,155390.70596440844,157494.18347313404,153584.32299885908,160444.7784166067,157797.80976655497
3359,0.0,106818.55355569432,103376.21533559305,108358.9150274199,112154.18380540142,112978.76102542336
3361,0.0,128757.91037597135,136408.44677297343,134720.13088282608,131777.8872705643,132424.8365172369
3371,0.0,129269.25647814607,132222.20787927948,125441.57553369767,129313.67362900286,134227.15426976365
3373,0.0,166287.33988770898,158649.6993665015,170769.8973909533,166627.92340810748,172057.83912478123
3389,0.0,152756.6131634693,134463.53743980877,144821.45928204214,154034.79001024077,144727.41484142354
3391,0.0,175997.46997809637,170897.69419225672,158761.66418159477,158020.51629130906,161429.46608204662
3407,0.0,160137.9750607873,158971.93803526674,153195.853274839,160377.58737548575,159915.1977665802
3413,0.0,133174.90511055442,138869.25074748893,120142.93235059954,119194.75507033711,120129.01576173156
3433,0.0,162536.54300412323,173786.8171527936,171476.9337644046,173424.74028532807,171529.04450276974
3449,0.0,186978.74418262567,198132.7286450362,186085.80673878075,204014.6837889738,195915.29436097448
3457,0.0,104077.34002495014,116234.09470478262,107019.6731516941,120624.21672686872,107759.64693460046
3461,0.0,139180.23052937395,139845.54543392654,135692.24788014768,128580.2802412321,130860.57519700134
3463,0.0,196948.12728923673,189522.91581280017,191515.45847788567,200722.74248558964,203377.9530414336
3467,0.0,107399.82981627386,96599.97673787441,96332.0777529269,101523.96532259794,93396.85322662654
3469,159497.51440434085,151954.6701521502,149516.88085600702,157428.72923345983,164461.56124263158,148118.20730967092
3491,0.0,115558.48343043299,116601.51069801612,108470.0222655428,113503.20382190552,117481.39587050329
3499,0.0,105753.80387942374,115962.57667038035,109838.03752402133,124220.77610546476,120300.37649109038
3511,158793.95453437357,160642.98480901815,156716.81537015905,157353.82581397032,163361.61209209703,164512.56170822785
3517,0.0,131264.8445585282,134995.99154564235,123318.9924647676,133046.7740535313,136953.79726172404
3527,0.0,127414.8817510147,124828.84178202113,126992.8787133721,129782.30133901368,130475.0520278011
3529,0.0,157633.23170672145,157593.7161085978,166471.41461990328,174189.02498036594,155323.40435701841
3533,0.0,156920.5667009369,163018.44117617275,167058.1008548322,164794.5375579062,165791.62896775754
3539,0.0,95074.37846977376,92725.18883767936,91825.1954584094,85908.38426376732,86527.17090477317
3541,0.0,184640.390084212,168691.99530822056,178423.20567810666,175572.02061127155,188013.14828189122
3547,0.0,147213.17401678598,157497.63967976547,149259.91748585875,160385.00312916844,141916.0654578287
3557,0.0,108372.11054225103,114311.76529788687,112485.4672249652,120073.39047168684,106657.63940350284
3559,0.0,213648.15243868515,210888.17210707595,29246.063682044776,208208.32110067667,211648.12691914235
3571,0.0,93774.04708745905,85388.48185875404,19452.244379590626,89235.33269941584,96011.67351628773
3581,0.0,174259.87766627694,167209.56877063907,164836.1421991973,182138.19833908317,181703.01375930855
3583,0.0,170440.1054089649,178688.27196450022,157602.2551392963,168392.79172339864,161952.99018289387
3593,0.0,123171.33095158394,119570.06185969757,115585.00590262753,122524.56733229224,112861.2562653803
3607,143407.93553405008,152104.39123601856,143864.09671260952,148368.59703193544,150413.89632192533,156929.4750799368
3613,0.0,121855.6626183354,120824.43330393948,127259.94968486871,135765.03288720598,129135.79188194421
3617,0.0,173003.90401763425,160730.34307875118,186793.35371484866,178505.93598448954,160439.18750849768
3623,0.0,79523.00989108022,77001.89548606625,84189.23956088736,71507.50776995839,84778.97274959189
3631,0.0,147077.10123365157,162593.17505862215,161379.61600165573,167549.02081359757,163125.73890431772
3637,0.0,159331.84542327223,147793.89599133495,154337.06318386277,151314.92158327327,156245.54582083342
3643,0.0,127240.57387679687,141988.7439777627,135083.38895277123,141303.2972300394,133640.7037252987
3659,0.0,162369.66661925145,141597.97235231922,154680.48120158643,155050.4564420184,164666.17891330604
3671,0.0,139886.5417070423,134267.79433395946,130890.05522593975,130437.1251419635,127061.47383131245
3673,0.0,89371.93881185411,100190.8973009872,90437.73072399205,100380.73852884269,97270.7204507051
3677,0.0,106673.95033975775,106403.89591734919,104771.13664054169,100742.36956328919,93778.53310325512
3691,0.0,87374.6061362567,92898.9988401708,82486.73426603999,93466.62831854977,84359.7867620681
3697,0.0,127777.48549540777,122630.32343170082,116395.89373253955,128168.87114901778,109884.61081344327
3701,0.0,112925.35099648971,111408.9805325051,108372.26378925957,117656.38181050739,116465.97970063287
3709,0.0,101835.14695086044,111082.6519435014,103136.72393385606,100640.77457803139,95073.47843610572
3719,0.0,144809.0378890964,145365.50268634805,141920.91059766384,153559.48209583698,157126.73894341014
3727,0.0,105941.5054788625,118827.46431279692,120377.2864887368,116125.18673675554,116186.39145300805
3733,0.0,126160.71300606403,127164.93857981922,123073.89409836962,127131.27447053391,124409.18114902236
3739,0.0,202442.90191150157,174414.0443976326,179887.7347207443,199810.76675461238,167394.25930227767
